ID,Statistical weight (single-year data files),Age of youngest household child < 18,Age,Sex,Educational attainment,Race,Hispanic origin,Metropolitan status,Labor force status,Multiple job status,Full time or part time status,School Enrollment,School Level,Presence of spouse,Spouse¡¯s employment status,Weekly earnings,Number of children < 18 living in the household,Spouse¡¯s full time or part time employment status,Usual weekly hours of work (total),Day of week,Holiday
2.01706E+13,1.14E+07,0,39,Male,High school graduate - diploma or equivalent (GED),1,Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,Spouse present,Not employed,163461,2,Blank,-4,Monday,Diary day was not a holiday
2.01706E+13,1.3E+07,-1,39,Male,"1st, 2nd, 3rd, or 4th grade",1,Hispanic,Not identified,Employed - at work,No,Full time,No,Blank,Unmarried partner present,Employed,52000,0,Full time,40,Monday,Diary day was not a holiday
2.01706E+13,9393591,1,30,Female,High school graduate - diploma or equivalent (GED),1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,No,Blank,Spouse present,Employed,-1,4,Full time,-1,Tuesday,Diary day was not a holiday
2.01706E+13,7145189,4,42,Female,Associate degree - academic program,1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,Spouse present,Employed,76000,2,Full time,40,Monday,Diary day was not a holiday
2.01706E+13,8255107,-1,55,Female,High school graduate - diploma or equivalent (GED),1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,Blank,Blank,Spouse present,Employed,93269,0,Full time,40,Saturday,Diary day was not a holiday
2.01706E+13,5221117,-1,74,Female,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,Spouse present,Employed,-1,0,Full time,-1,Sunday,Diary day was not a holiday
2.01706E+13,2123359,9,37,Female,Associate degree - occupational/vocational,1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,Spouse present,Employed,72000,2,Full time,40,Sunday,Diary day was not a holiday
2.01706E+13,1933758,7,32,Female,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",1,Non-Hispanic,Non-metropolitan,Employed - at work,No,Full time,No,Blank,Spouse present,Employed,106250,2,Full time,40,Saturday,Diary day was not a holiday
2.01706E+13,1516786,-1,59,Female,Some college but no degree,2,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,Blank,Blank,Spouse present,Employed,240384,0,Full time,-4,Saturday,Diary day was not a holiday
2.01706E+13,5269977,1,66,Male,7th or 8th grade,1,Hispanic,Metropolitan,Employed - at work,No,Part time,Blank,Blank,No spouse or unmarried partner present,Blank,-1,2,Blank,8,Saturday,Diary day was not a holiday
2.01706E+13,1.15E+07,-1,66,Female,Some college but no degree,1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,Unmarried partner present,Employed,-1,0,Full time,-1,Thursday,Diary day was not a holiday
2.01706E+13,1944080,-1,63,Female,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",1,Non-Hispanic,Non-metropolitan,Employed - at work,Yes,Part time,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,25,Saturday,Diary day was not a holiday
2.01706E+13,6998919,-1,59,Female,"Bachelor's degree (BA, AB, BS, etc.)",1,Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,Spouse present,Not employed,-1,0,Blank,-1,Monday,Diary day was not a holiday
2.01706E+13,2.28E+07,-1,21,Female,Associate degree - academic program,1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,No spouse or unmarried partner present,Blank,37800,0,Blank,35,Sunday,Diary day was not a holiday
